duty_cycle,acceleration
200,0.129
201,0.129
202,0.131
203,0.135
204,0.134
205,0.136
206,0.139
207,0.137
208,0.141
209,0.142
210,0.145
211,0.148
212,0.148
213,0.152
214,0.15
215,0.156
216,0.155
217,0.156
218,0.156
219,0.16
220,0.162
221,0.163
222,0.163
223,0.167
224,0.169
225,0.17
226,0.174
227,0.175
228,0.177
229,0.18
230,0.182
231,0.184
232,0.186
233,0.188
234,0.19
235,0.192
236,0.193
237,0.195
238,0.199
239,0.2
240,0.202
241,0.203
242,0.206
243,0.209
244,0.212
245,0.215
246,0.219
247,0.222
248,0.225
249,0.227
250,0.23
251,0.233
252,0.236
253,0.238
254,0.242
255,0.245
256,0.247
257,0.25
258,0.254
259,0.258
260,0.262
261,0.265
262,0.27
263,0.274
264,0.276
265,0.278
266,0.283
267,0.285
268,0.288
269,0.292
270,0.293
271,0.298
272,0.303
273,0.306
274,0.308
275,0.314
276,0.317
277,0.32
278,0.326
279,0.332
280,0.336
281,0.339
282,0.343
283,0.348
284,0.35
285,0.353
286,0.359
287,0.364
288,0.365
289,0.371
290,0.374
291,0.379
292,0.385
293,0.387
294,0.39
295,0.398
296,0.4
297,0.404
298,0.412
299,0.417
300,0.421
301,0.428
302,0.433
303,0.437
304,0.437
305,0.439
306,0.445
307,0.45
308,0.455
309,0.461
310,0.465
311,0.47
312,0.479
313,0.482
314,0.489
315,0.495
316,0.499
317,0.503
318,0.511
319,0.516
320,0.523
321,0.527
322,0.528
323,0.535
324,0.541
325,0.547
326,0.555
327,0.56
328,0.566
329,0.574
330,0.581
331,0.584
332,0.596
333,0.6
334,0.605
335,0.614
336,0.619
337,0.623
338,0.632
339,0.636
340,0.648
341,0.654
342,0.661
343,0.667
344,0.67
345,0.674
346,0.686
347,0.693
348,0.699
349,0.711
350,0.716
351,0.722
352,0.73
353,0.738
354,0.746
355,0.755
356,0.759
357,0.766
358,0.772
359,0.779
360,0.787
361,0.791
362,0.791
363,0.801
364,0.811
365,0.834
366,0.831
367,0.837
368,0.843
369,0.855
370,0.861
371,0.865
372,0.877
373,0.882
374,0.893
375,0.9
376,0.91
377,0.919
378,0.933
379,0.94
380,0.953
381,0.955
382,0.963
383,0.974
384,0.981
385,0.986
386,1.002
387,1.01
388,1.019
389,1.033
390,1.046
391,1.054
392,1.069
393,1.077
394,1.087
395,1.105
396,1.11
397,1.117
398,1.136
399,1.143
400,1.158
401,1.163
402,1.17
403,1.192
404,1.207
405,1.225
406,1.238
407,1.249
408,1.26
409,1.275
410,1.277
411,1.29
412,1.309
413,1.316
414,1.325
415,1.346
416,1.348
417,1.362
418,1.381
419,1.392
420,1.397
421,1.405
422,1.415
423,1.425
424,1.44
425,1.456
426,1.482
427,1.502
428,1.518
429,1.539
430,1.56
431,1.568
432,1.596
433,1.626
434,1.637
435,1.669
436,1.692
437,1.697
438,1.75
439,1.762
440,1.768
441,1.782
442,1.807
443,1.821
444,1.836
445,1.844
446,1.891
447,1.895
448,1.919
449,1.929
450,1.932
451,1.948
452,1.943
453,1.938
454,1.911
455,1.83
456,1.824
457,1.804
458,1.785
459,1.787
460,1.791
461,1.795
462,1.786
463,1.794
464,1.799
465,1.808
466,1.839
467,1.855
468,1.866
469,1.902
470,1.921
471,1.936
472,1.959
473,1.964
474,1.971
475,1.983
476,1.995
477,2.007
478,2.02
479,2.023
480,2.035
481,2.05
482,2.065
483,2.075
484,2.077
485,2.085
486,2.102
487,2.109
488,2.12
489,2.141
490,2.152
491,2.164
492,2.177
493,2.195
494,2.21
495,2.225
496,2.236
497,2.252
498,2.292
499,2.297
500,2.308
501,2.324
502,2.328
503,2.337
504,2.338
505,2.345
506,2.356
507,2.365
508,2.386
509,2.405
510,2.407
511,2.423
512,2.45
513,2.465
514,2.481
515,2.488
516,2.498
517,2.507
518,2.524
519,2.538
520,2.555
521,2.565
522,2.577
523,2.586
524,2.592
525,2.598
526,2.606
527,2.613
528,2.623
529,2.641
530,2.65
531,2.667
532,2.683
533,2.692
534,2.712
535,2.72
536,2.728
537,2.741
538,2.748
539,2.763
540,2.78
541,2.792
542,2.807
543,2.836
544,2.848
545,2.865
546,2.89
547,2.889
548,2.903
549,2.908
550,2.913
551,2.924
552,2.942
553,2.954
554,2.969
555,2.991
556,3.001
557,3.016
558,3.036
559,3.042
560,3.066
561,3.064
562,3.068
563,3.093
564,3.114
565,3.134
566,3.154
567,3.159
568,3.159
569,3.18
570,3.188
571,3.201
572,3.224
573,3.226
574,3.242
575,3.257
576,3.277
577,3.292
578,3.313
579,3.327
580,3.347
581,3.365
582,3.371
583,3.39
584,3.409
585,3.433
586,3.454
587,3.467
588,3.476
589,3.49
590,3.503
591,3.502
592,3.515
593,3.523
594,3.533
595,3.552
596,3.564
597,3.582
598,3.602
599,3.622
600,3.638
601,3.655
602,3.665
603,3.684
604,3.694
605,3.708
606,3.731
607,3.739
608,3.753
609,3.769
610,3.771
611,3.777
612,3.794
613,3.811
614,3.821
615,3.85
616,3.86
617,3.861
618,3.889
619,3.908
620,3.914
621,3.935
622,3.948
623,3.96
624,3.966
625,3.976
626,3.991
627,4.003
628,4.011
629,4.033
630,4.051
631,4.06
632,4.077
633,4.101
634,4.105
635,4.123
636,4.145
637,4.158
638,4.176
639,4.188
640,4.206
641,4.213
642,4.224
643,4.249
644,4.26
645,4.259
646,4.265
647,4.285
648,4.288
649,4.313
650,4.316
651,4.327
652,4.349
653,4.347
654,4.364
655,4.384
656,4.411
657,4.427
658,4.453
659,4.466
660,4.479
661,4.488
662,4.509
663,4.507
664,4.527
665,4.532
666,4.564
667,4.574
668,4.581
669,4.597
670,4.619
671,4.625
672,4.65
673,4.653
674,4.658
675,4.677
676,4.692
677,4.701
678,4.724
679,4.74
680,4.756
681,4.76
682,4.773
683,4.784
684,4.807
685,4.819
686,4.86
687,4.871
688,4.885
689,4.9
690,4.917
691,4.928
692,4.948
693,4.972
694,4.973
695,4.994
696,5.002
697,4.976
698,5.003
699,5.007
700,5.011
701,5.022
702,5.039
703,5.062
704,5.065
705,5.082
706,5.096
707,5.1
708,5.127
709,5.143
710,5.153
711,5.152
712,5.173
713,5.183
714,5.181
715,5.192
716,5.198
717,5.207
718,5.245
719,5.256
720,5.274
721,5.274
722,5.291
723,5.314
724,5.314
725,5.317
726,5.339
727,5.35
728,5.346
729,5.376
730,5.383
731,5.361
732,5.369
733,5.375
734,5.393
735,5.429
736,5.449
737,5.483
738,5.494
739,5.507
740,5.521
741,5.534
742,5.534
743,5.545
744,5.555
745,5.559
746,5.558
747,5.545
748,5.557
749,5.566
750,5.586
751,5.607
752,5.618
753,5.633
754,5.646
755,5.651
756,5.661
757,5.673
758,5.696
759,5.719
760,5.729
761,5.727
762,5.717
763,5.729
764,5.737
765,5.756
766,5.768
767,5.792
768,5.806
769,5.808
770,5.814
771,5.827
772,5.855
773,5.852
774,5.872
775,5.882
776,5.89
777,5.897
778,5.894
779,5.886
780,5.889
781,5.892
782,5.903
783,5.922
784,5.935
785,5.978
786,5.999
787,5.995
788,6.012
789,6.017
790,6.026
791,6.028
792,6.048
793,6.054
794,6.065
795,6.076
796,6.086
797,6.086
798,6.063
799,6.059
800,6.067
801,6.101
802,6.107
803,6.125
804,6.126
805,6.139
806,6.146
807,6.154
808,6.172
809,6.194
810,6.169
811,6.175
812,6.174
813,6.201
814,6.217
815,6.216
816,6.204
817,6.232
818,6.25
819,6.264
820,6.288
821,6.296
822,6.304
823,6.31
824,6.318
825,6.329
826,6.35
827,6.355
828,6.358
829,6.368
830,6.362
831,6.375
832,6.374
833,6.371
834,6.382
835,6.401
836,6.416
837,6.43
838,6.469
839,6.466
840,6.493
841,6.494
842,6.51
843,6.51
844,6.52
845,6.528
846,6.528
847,6.54
848,6.493
849,6.501
850,6.498
851,6.515
852,6.523
853,6.528
854,6.542
855,6.555
856,6.582
857,6.568
858,6.582
859,6.584
860,6.578
861,6.575
862,6.575
863,6.582
864,6.59
865,6.602
866,6.619
867,6.616
868,6.635
869,6.633
870,6.632
871,6.616
872,6.618
873,6.622
874,6.65
875,6.656
876,6.678
877,6.681
878,6.688
879,6.682
880,6.692
881,6.664
882,6.673
883,6.685
884,6.704
885,6.715
886,6.717
887,6.752
888,6.762
889,6.758
890,6.761
891,6.721
892,6.748
893,6.722
894,6.726
895,6.738
896,6.74
897,6.757
898,6.775
899,6.781
